22:19:14.445010 config: drop-rate=0.00, max-delay=0s, seed=1510197554445010100
23:20:28.308997 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.309499 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.309499 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.311003 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.311504 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.311504 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.312005 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.312005 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.312507 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.312507 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.313008 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.313008 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.313509 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.313509 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.314012 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.314512 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.314512 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.314512 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.315014 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.315515 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
23:20:28.316016 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:3000, sz=60 is delivered
23:20:28.316518 [queue=0] packet #1, 127.0.0.1:3000 -> 127.0.0.1:8007, sz=60 is delivered
